"","Location","Total_2014","Total_Health_Spending_2014"
"1","United States",316159900,2562824
"2","Alabama",4768000,35263
"3","Alaska",695700,8151
"4","Arizona",6657200,43356
"5","Arkansas",2896000,21980
"6","California",38701300,291989
"7","Colorado",5377400,36398
"8","Connecticut",3577900,35413
"9","Delaware",929500,9587
"10","District of Columbia",656900,7871
"11","Florida",19731100,160624
"12","Georgia",9965100,66447
"13","Hawaii",1365400,10338
"14","Idaho",1610200,11315
"15","Illinois",12797900,106306
"16","Indiana",6477500,54741
"17","Iowa",3080800,25487
"18","Kansas",2853000,22183
"19","Kentucky",4315700,35323
"20","Louisiana",4556500,36324
"21","Maine",1299600,12684
"22","Maryland",5938900,51330
"23","Massachusetts",6658100,71274
"24","Michigan",9906400,79874
"25","Minnesota",5418500,48377
"26","Mississippi",2965300,22879
"27","Missouri",5961300,49137
"28","Montana",1009100,8409
"29","Nebraska",1881000,15823
"30","Nevada",2823400,19020
"31","New Hampshire",1319700,12742
"32","New Jersey",8939300,79066
"33","New Mexico",2035200,15027
"34","New York",19679400,192809
"35","North Carolina",9835800,72160
"36","North Dakota",733400,7289
"37","Ohio",11535600,101013
"38","Oklahoma",3741700,29575
"39","Oregon",3962300,31920
"40","Pennsylvania",12627100,118419
"41","Rhode Island",1048200,10071
"42","South Carolina",4764300,35299
"43","South Dakota",846800,7616
"44","Tennessee",6502000,48249
"45","Texas",26687400,188559
"46","Utah",2929400,17597
"47","Vermont",617000,6389
"48","Virginia",8258800,62847
"49","Washington",7085000,55819
"50","West Virginia",1825500,17491
"51","Wisconsin",5747200,50109
"52","Wyoming",572000,4856
